,bike_name,price,kms_driven,owner,age,power,brand
10909,Bajaj Avenger Street,80000.0,7127.0,First Owner,5.0,220.0,Bajaj
10910,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
10911,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
10912,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
10913,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
10914,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
10915,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
10916,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
10917,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
10918,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
10919,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
10920,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
10921,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
10922,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
10923,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
10924,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
10925,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
10926,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
10927,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
10928,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
10929,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
10930,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
10931,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
10932,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
10933,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
10934,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
10935,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
10936,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
10937,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
10938,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
10939,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
10940,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
10941,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
10942,Yamaha FZ 150cc,45000.0,18742.0,First Owner,6.0,150.0,Yamaha
10943,Honda CB Trigger,43000.0,42837.0,First Owner,8.0,150.0,Honda
10944,Yamaha YZF-R15 2.0,55000.0,27000.0,First Owner,9.0,150.0,Yamaha
10945,Hero CBZ Xtreme,11900.0,34968.0,First Owner,14.0,150.0,Hero
10946,Hero Passion 100cc,18000.0,3869.0,First Owner,16.0,100.0,Hero
10947,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,8.0,200.0,Bajaj
10948,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,7.0,220.0,Bajaj
10949,Hero Hunk Rear,25000.0,48587.0,First Owner,8.0,150.0,Hero
10950,Bajaj Avenger Street,70000.0,8000.0,First Owner,5.0,220.0,Bajaj
10951,Honda CB Hornet,87000.0,140.0,First Owner,3.0,160.0,Honda
10952,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,15.0,150.0,Bajaj
10953,Yamaha Fazer 150cc,25000.0,65000.0,First Owner,12.0,150.0,Yamaha
10954,Hero CD Deluxe,18000.0,22824.0,First Owner,8.0,100.0,Hero
10955,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,15.0,150.0,Bajaj
